Seed,Prediction_rate
24,"[0.6000000000000002, 0.5833333333333335]"
24,"[0.6000000000000002, 0.6000000000000002]"
24,"[0.5833333333333335, 0.5833333333333335]"
25,"[0.5833333333333335, 0.5833333333333335]"
25,"[0.6500000000000004, 0.6500000000000004]"
25,"[0.6666666666666671, 0.6666666666666671]"
26,"[0.7833333333333341, 0.7833333333333341]"
27,"[0.5833333333333335, 0.5833333333333335]"
28,"[0.6166666666666669, 0.6166666666666669]"
29,"[0.5333333333333333, 0.5333333333333333]"
315,"[0.7000000000000005, 0.7000000000000005]"
772,"[0.733333333333334, 0.733333333333334]"
164,"[0.5666666666666668, 0.5666666666666668]"
787,"[0.49999999999999994, 0.49999999999999994]"
446,"[0.6333333333333336, 0.6333333333333336]"
36,"[0.55, 0.55]"
234,"[0.7166666666666672, 0.7166666666666672]"
196,"[0.6666666666666671, 0.6666666666666671]"
994,"[0.6166666666666669, 0.6166666666666669]"
304,"[0.6833333333333338, 0.6833333333333338]"
637,"[0.6000000000000002, 0.6000000000000002]"
15,"[0.55, 0.5333333333333333]"
206,"[0.7833333333333341, 0.7833333333333341]"
