Seed,Prediction_rate
24,"[0.7833333333333341, 0.7833333333333341]"
24,"[0.7500000000000007, 0.7500000000000007]"
24,"[0.7500000000000007, 0.7500000000000007]"
25,"[0.6500000000000004, 0.6500000000000004]"
25,"[0.6333333333333336, 0.6333333333333336]"
25,"[0.6500000000000004, 0.6500000000000004]"
26,"[0.7000000000000005, 0.7000000000000005]"
27,"[0.6500000000000004, 0.6500000000000004]"
28,"[0.5833333333333335, 0.5833333333333335]"
29,"[0.6666666666666671, 0.6666666666666671]"
315,"[0.8000000000000008, 0.8000000000000008]"
772,"[0.7500000000000007, 0.7500000000000007]"
164,"[0.733333333333334, 0.733333333333334]"
787,"[0.6500000000000004, 0.6500000000000004]"
446,"[0.5333333333333333, 0.5333333333333333]"
36,"[0.7166666666666672, 0.7166666666666672]"
234,"[0.6500000000000004, 0.6500000000000004]"
196,"[0.6833333333333338, 0.6833333333333338]"
994,"[0.8000000000000008, 0.8000000000000008]"
304,"[0.6666666666666671, 0.6666666666666671]"
